client_id,client_name,zip_code,region_tier
1,Jennifer Vargas,32808,Standard
2,Margaret Williams,32750,Mid
3,David Sawyer,32746,Mid
4,Noah Hardin,32836,High
5,Erica Williams,32779,High
6,Jordan Davis,34786,High
7,Jesse Ayers,32765,Standard
8,Bryan Hernandez,32825,Standard
9,Christine Clark,32825,Standard
10,Ashley Snyder,32789,High
11,Margaret Hernandez,32825,Standard
12,Douglas Newton,32825,Standard
13,William Dillon,32836,High
14,Nathaniel Patel,32825,Standard
15,Trevor Beck,32825,Standard
16,Willie Rivera,34786,High
17,Angela Herrera,32825,Standard
18,Kirk Nelson,32789,High
19,Megan Powers,32714,Mid
20,Monique Hughes,32825,Standard
21,Brandon Salazar,32746,Mid
22,Sierra Sullivan,32707,Standard
23,Kevin Mendez,32746,Mid
24,Christopher Delacruz,32779,High
25,Renee Daniel,32808,Standard
26,Richard Jones,32789,High
27,Shannon Martinez,32792,High
28,Joy Cox,32836,High
29,Jenna Carter,32792,High
30,Russell Anderson,34786,High
31,Amber Hensley,32792,High
32,Jason Houston,32765,Standard
33,Charles Gibson,32746,Mid
34,Vicki Morrow,32746,Mid
35,Curtis Morales,32779,High
36,Diana Hernandez,32779,High
37,James Gray,32789,High
38,William Butler,32808,Standard
39,Jeffrey Lee,32746,Mid
40,Nichole Johnson,32789,High
41,William Davis,32746,Mid
42,Amanda Franklin,32779,High
43,Jon Murillo,34786,High
44,Jason Dominguez,32750,Mid
45,Mitchell Turner,32779,High
46,Sara Gill,32765,Standard
47,Danny Smith,32750,Mid
48,James Taylor,32707,Standard
49,Alicia Smith,32792,High
50,Sandra Foster,32714,Mid
51,Thomas Castillo,32789,High
52,Dalton Blake,32765,Standard
53,Rodney Lawson,32707,Standard
54,Calvin Hughes,32707,Standard
55,Randy Davidson,32765,Standard
56,Jennifer Bowman,32714,Mid
57,Rachel Levy,32707,Standard
58,Cory Smith,32746,Mid
59,Ricky Roberts,32825,Standard
60,Mike Miller,34786,High
61,Kaitlyn Brown,32714,Mid
62,Grace Reid,32808,Standard
63,Evan Rogers,32825,Standard
64,William Ingram,32746,Mid
65,John Green,32789,High
66,Anthony Lawson,32765,Standard
67,Rodney Davis,32808,Standard
68,Glenda Freeman,32836,High
69,Brent Lopez,34786,High
70,Pamela Rodriguez,32825,Standard
71,Sarah Frazier,32789,High
72,Richard Wilson,34786,High
73,Holly Lambert,32750,Mid
74,Jerry Duran,32836,High
75,Brittany Hansen,32825,Standard
76,Lonnie Stuart,32779,High
77,Jeffrey White,32765,Standard
78,Cheryl Walters,32792,High
79,Mark Bennett,34786,High
80,Marvin Myers MD,32707,Standard
81,Caleb Fuller,32714,Mid
82,Cassandra Gray,32707,Standard
83,Charles Brown,32792,High
84,Michael Duran,32836,High
85,Marvin Wiggins,32792,High
86,Justin Quinn,32750,Mid
87,Sarah Thomas,32836,High
88,Laura Lane,32750,Mid
89,Dr. Kenneth Johnson MD,32746,Mid
90,Christopher Hodge,34786,High
91,Chelsea Hanson PhD,32789,High
92,Zachary Stewart,32746,Mid
93,Christopher Morgan,32714,Mid
94,Richard Black,32765,Standard
95,Christopher Lane,32765,Standard
